theta,x,y,alpha,beta,a,b,l,lp,abs(l-lp),
0.303687,0.958536,0.300387,0.0301647,1.84432,0.280554,0.0314656,1.23661,1.23651,0.000103447,
0.314159,0.955675,0.310518,0.0311924,1.85376,0.290769,0.0326368,1.23687,1.2368,7.11502e-05,
0.324631,0.952704,0.32062,0.0322178,1.86321,0.301043,0.0338155,1.23709,1.23705,3.8964e-05,
0.335103,0.949623,0.330694,0.0332408,1.87266,0.311378,0.035002,1.23727,1.23727,6.8923e-06,
0.345575,0.946432,0.340736,0.0342613,1.88211,0.321777,0.0361966,1.23742,1.23744,2.50606e-05,
0.356047,0.943132,0.350747,0.035279,1.89156,0.332242,0.0373994,1.23752,1.23758,5.68903e-05,
0.366519,0.939722,0.360726,0.0362939,1.90102,0.342777,0.0386108,1.23759,1.23768,8.85929e-05,
0.376991,0.936297,0.370706,0.0373133,1.91047,0.353374,0.0398427,1.23792,1.23782,0.000101942,
0.387463,0.932762,0.380653,0.0383298,1.91993,0.364047,0.0410843,1.23821,1.23814,6.80126e-05,
0.397935,0.929117,0.390565,0.0393435,1.92939,0.374796,0.0423357,1.23846,1.23842,3.42224e-05,
0.408407,0.925362,0.40044,0.040354,1.93885,0.385625,0.0435972,1.23867,1.23866,5.75834e-07,
0.418879,0.921499,0.410278,0.0413614,1.94831,0.396537,0.0448692,1.23883,1.23887,3.29226e-05,
0.429351,0.917528,0.420077,0.0423654,1.95778,0.407535,0.0461519,1.23896,1.23903,6.62684e-05,
0.439823,0.913449,0.429836,0.043366,1.96725,0.418623,0.0474456,1.23905,1.23915,9.94574e-05,
0.450295,0.909352,0.439598,0.0443717,1.97672,0.429793,0.0487649,1.23939,1.2393,8.96405e-05,
0.460767,0.905146,0.449318,0.0453739,1.98619,0.441058,0.0500964,1.23969,1.23964,5.42328e-05,
0.471239,0.900832,0.458997,0.0463726,1.99566,0.452422,0.0514405,1.23995,1.23994,1.89946e-05,
0.481711,0.89641,0.468632,0.0473675,2.00514,0.463889,0.0527975,1.24017,1.24019,1.60694e-05,
0.492183,0.891881,0.478222,0.0483585,2.01462,0.475461,0.0541678,1.24035,1.2404,5.09546e-05,
0.502655,0.887245,0.487767,0.0493454,2.02411,0.487143,0.0555517,1.24048,1.24056,8.56566e-05,
0.513127,0.882589,0.497314,0.0503381,2.03358,0.498927,0.0569661,1.24086,1.24076,0.000101983,
0.523599,0.877826,0.506813,0.0513268,2.04307,0.510827,0.0583955,1.24121,1.24114,6.50775e-05,
0.534071,0.872956,0.516265,0.0523113,2.05256,0.522849,0.0598404,1.2415,1.24147,2.83681e-05,
0.544543,0.86798,0.525667,0.0532915,2.06205,0.534996,0.0613011,1.24175,1.24176,8.14012e-06,
0.555015,0.862897,0.535019,0.0542672,2.07154,0.547274,0.0627781,1.24196,1.24201,4.44423e-05,
0.565487,0.857709,0.544319,0.0552382,2.08104,0.559685,0.0642719,1.24213,1.24221,8.05339e-05,
0.575959,0.8525,0.55362,0.0562156,2.09054,0.572221,0.0658018,1.24254,1.24243,0.000105784,
0.586431,0.847185,0.562868,0.0571883,2.10004,0.5849,0.0673501,1.2429,1.24284,6.75037e-05,
0.596903,0.841764,0.572062,0.0581562,2.10954,0.597727,0.0689172,1.24322,1.2432,2.94479e-05,
0.607375,0.836238,0.581201,0.0591191,2.11905,0.610707,0.0705038,1.2435,1.24351,8.37857e-06,
0.617847,0.830609,0.590283,0.060077,2.12857,0.623847,0.0721103,1.24373,1.24377,4.59707e-05,
0.628319,0.824875,0.599307,0.0610296,2.13809,0.63715,0.0737375,1.24391,1.24399,8.33238e-05,
0.638791,0.81912,0.608332,0.0619889,2.1476,0.650607,0.0754073,1.24433,1.24423,0.000101806,
0.649262,0.813259,0.617298,0.062943,2.15712,0.664238,0.0770995,1.24471,1.24465,6.228e-05,
0.659734,0.807296,0.626203,0.0638916,2.16664,0.678051,0.0788149,1.24504,1.24502,2.30077e-05,
0.670206,0.801229,0.635047,0.0648346,2.17617,0.692052,0.0805542,1.24533,1.24534,1.6006e-05,
0.680678,0.795061,0.643828,0.0657719,2.1857,0.706247,0.082318,1.24556,1.24562,5.4756e-05,
0.69115,0.788791,0.652545,0.0667033,2.19524,0.720644,0.0841072,1.24575,1.24584,9.32376e-05,
0.701622,0.782497,0.661261,0.0676419,2.20478,0.735229,0.0859467,1.24618,1.24609,9.0837e-05,
0.712094,0.776101,0.669913,0.0685744,2.21432,0.750029,0.0878139,1.24656,1.24651,5.01996e-05,
